Year,MJJA,NTREND2015,upper2sigma,lower2sigma,,MJJAspl20,NTREND2015spl20,upper2sigma,lower2sigma
1187,,0.0512,0.9189,-0.8164,,,-0.1181,0.0923,-0.3286
1188,,-0.1158,0.7519,-0.9835,,,-0.127,0.0834,-0.3375
1189,,-0.1826,0.6851,-1.0503,,,-0.1426,0.0679,-0.353
1190,,-0.1158,0.7519,-0.9835,,,-0.1627,0.0477,-0.3732
1191,,-0.216,0.6517,-1.0837,,,-0.1856,0.0249,-0.396
1192,,-0.4332,0.4345,-1.3009,,,-0.2091,1.32E-03,-0.4196
1193,,-0.1492,0.7185,-1.0169,,,-0.2318,-0.0213,-0.4422
1194,,-0.2995,0.5681,-1.1672,,,-0.2533,-0.0429,-0.4637
1195,,-0.1492,0.7185,-1.0169,,,-0.2734,-0.063,-0.4839
1196,,-0.2494,0.6183,-1.1171,,,-0.2918,-0.0814,-0.5023
1197,,-0.5501,0.3176,-1.4178,,,-0.3073,-0.0969,-0.5178
1198,,-0.0991,0.7686,-0.9668,,,-0.3187,-0.1083,-0.5292
1199,,-0.3162,0.5514,-1.1839,,,-0.3259,-0.1155,-0.5364
1200,,-0.51,0.3379,-1.3579,,,-0.3279,-0.1234,-0.5323
1201,,-0.4442,0.4037,-1.2921,,,-0.3232,-0.1188,-0.5277
1202,,-0.2302,0.6178,-1.0781,,,-0.3122,-0.1077,-0.5166
1203,,-0.2631,0.5848,-1.111,,,-0.2958,-0.0913,-0.5002
1204,,-0.3948,0.4531,-1.2427,,,-0.2746,-0.0702,-0.4791
1205,,-0.3289,0.519,-1.1768,,,-0.2493,-0.0449,-0.4537
1206,,-0.3125,0.5354,-1.1604,,,-0.2212,-0.0167,-0.4256
1207,,-0.2302,0.6178,-1.0781,,,-0.1925,0.012,-0.3969
1208,,-0.1314,0.7165,-0.9793,,,-0.1662,0.0382,-0.3707
1209,,0.0333,0.8812,-0.8146,,,-0.1458,0.0587,-0.3502
1210,,0.0333,0.8812,-0.8146,,,-0.134,0.0704,-0.3385
1211,,0.2144,1.0623,-0.6336,,,-0.1324,0.0721,-0.3368
1212,,-0.1643,0.6836,-1.0122,,,-0.1403,0.0642,-0.3447
1213,,-0.0984,0.7495,-0.9464,,,-0.1547,0.0497,-0.3592
1214,,-0.3454,0.5025,-1.1933,,,-0.1722,0.0322,-0.3767
1215,,-0.5594,0.2885,-1.4073,,,-0.1892,0.0153,-0.3936
1216,,-0.2631,0.5848,-1.111,,,-0.2037,7.78E-04,-0.4081
1217,,-0.2466,0.6013,-1.0945,,,-0.2165,-0.0121,-0.421
1218,,-0.082,0.7659,-0.9299,,,-0.2297,-0.0252,-0.4341
1219,,-0.1972,0.6507,-1.0451,,,-0.245,-0.0405,-0.4494
1220,,-0.3783,0.4696,-1.2262,,,-0.2634,-0.059,-0.4679
1221,,-0.0161,0.8318,-0.864,,,-0.2856,-0.0811,-0.49
1222,,-0.3454,0.5025,-1.1933,,,-0.3123,-0.1078,-0.5167
1223,,-0.5265,0.3214,-1.3744,,,-0.3428,-0.1383,-0.5472
1224,,-0.1643,0.6836,-1.0122,,,-0.3765,-0.172,-0.5809
1225,,-0.6253,0.2226,-1.4732,,,-0.4136,-0.2092,-0.6181
1226,,-0.4771,0.3708,-1.325,,,-0.4538,-0.2493,-0.6582
1227,,-0.1808,0.6671,-1.0287,,,-0.4975,-0.293,-0.7019
1228,,-0.3783,0.4696,-1.2262,,,-0.5454,-0.3409,-0.7498
1229,,-0.3619,0.4861,-1.2098,,,-0.5957,-0.3913,-0.8002
1230,,-0.9381,-0.0902,-1.786,,,-0.6448,-0.4404,-0.8493
1231,,-0.7734,0.0745,-1.6213,,,-0.6877,-0.4832,-0.8921
1232,,-0.7076,0.1403,-1.5555,,,-0.7209,-0.5165,-0.9254
1233,,-0.8558,-7.85E-03,-1.7037,,,-0.7422,-0.5378,-0.9467
1234,,-1.0204,-0.1725,-1.8683,,,-0.7495,-0.5451,-0.9539
1235,,-0.9216,-0.0737,-1.7695,,,-0.7418,-0.5374,-0.9462
1236,,-0.6747,0.1732,-1.5226,,,-0.7204,-0.516,-0.9249
1237,,-0.4771,0.3708,-1.325,,,-0.6882,-0.4838,-0.8927
1238,,-0.757,0.0909,-1.6049,,,-0.6476,-0.4432,-0.8521
1239,,-0.6253,0.2226,-1.4732,,,-0.5999,-0.3955,-0.8044
1240,,-0.5759,0.272,-1.4238,,,-0.5467,-0.3422,-0.7511
1241,,-0.543,0.305,-1.3909,,,-0.4899,-0.2855,-0.6944
1242,,-0.2631,0.5848,-1.111,,,-0.432,-0.2276,-0.6365
1243,,-0.2466,0.6013,-1.0945,,,-0.3754,-0.1709,-0.5798
1244,,-0.5923,0.2556,-1.4402,,,-0.3212,-0.1168,-0.5257
1245,,-0.1808,0.6671,-1.0287,,,-0.2702,-0.0657,-0.4746
1246,,-0.2302,0.6178,-1.0781,,,-0.2241,-0.0196,-0.4285
1247,,-0.0326,0.8153,-0.8805,,,-0.1849,0.0196,-0.3893
1248,,-0.296,0.5519,-1.1439,,,-0.154,0.0504,-0.3585
1249,,-0.0161,0.8318,-0.864,,,-0.1323,0.0722,-0.3367
1250,,-0.0984,0.7495,-0.9464,,,-0.1208,0.0837,-0.3252
1251,,-0.0984,0.7495,-0.9464,,,-0.1203,0.0842,-0.3247
1252,,-0.0161,0.8318,-0.864,,,-0.131,0.0735,-0.3354
1253,,-0.0655,0.7824,-0.9134,,,-0.1529,0.0516,-0.3573
1254,,-0.3619,0.4861,-1.2098,,,-0.185,0.0195,-0.3894
1255,,0.1485,0.9964,-0.6994,,,-0.2257,-0.0213,-0.4302
1256,,-0.3289,0.519,-1.1768,,,-0.2741,-0.0697,-0.4785
1257,,0.1156,0.9635,-0.7323,,,-0.327,-0.1225,-0.5314
1258,,-0.724,0.1239,-1.572,,,-0.3803,-0.1759,-0.5847
1259,,-0.7076,0.1403,-1.5555,,,-0.4277,-0.2233,-0.6321
1260,,-0.7301,0.1162,-1.5764,,,-0.4648,-0.2596,-0.6701
1261,,-0.5478,0.2985,-1.3941,,,-0.4901,-0.2849,-0.6954
1262,,-0.4483,0.3979,-1.2946,,,-0.5044,-0.2991,-0.7096
1263,,-0.7467,0.0996,-1.593,,,-0.5089,-0.3037,-0.7142
1264,,-0.5146,0.3316,-1.3609,,,-0.5054,-0.3001,-0.7106
1265,,-0.3323,0.514,-1.1786,,,-0.4968,-0.2915,-0.702
1266,,-0.2329,0.6134,-1.0791,,,-0.4863,-0.281,-0.6915
1267,,-0.6141,0.2322,-1.4604,,,-0.4756,-0.2704,-0.6809
1268,,-0.5312,0.3151,-1.3775,,,-0.4649,-0.2597,-0.6702
1269,,-0.3986,0.4477,-1.2449,,,-0.4548,-0.2495,-0.66
1270,,-0.5146,0.3316,-1.3609,,,-0.4464,-0.2411,-0.6516
1271,,-0.2992,0.5471,-1.1454,,,-0.4408,-0.2356,-0.6461
1272,,-0.382,0.4642,-1.2283,,,-0.4393,-0.234,-0.6445
1273,,-0.4152,0.4311,-1.2615,,,-0.4421,-0.2368,-0.6473
1274,,-0.3986,0.4477,-1.2449,,,-0.4488,-0.2436,-0.6541
1275,,-0.5312,0.3151,-1.3775,,,-0.4588,-0.2536,-0.6641
1276,,-0.4152,0.4311,-1.2615,,,-0.4711,-0.2659,-0.6764
1277,,-0.5312,0.3151,-1.3775,,,-0.4851,-0.2798,-0.6903
1278,,-0.6804,0.1659,-1.5267,,,-0.4998,-0.2945,-0.705
1279,,-0.4815,0.3648,-1.3278,,,-0.515,-0.3097,-0.7202
1280,,-0.6804,0.1659,-1.5267,,,-0.5315,-0.3262,-0.7367
1281,,-0.3489,0.4974,-1.1952,,,-0.5505,-0.3452,-0.7558
1282,,-0.5644,0.2819,-1.4106,,,-0.5738,-0.3685,-0.779
1283,,-0.4815,0.3648,-1.3278,,,-0.6019,-0.3967,-0.8072
1284,,-0.4815,0.3648,-1.3278,,,-0.6351,-0.4298,-0.8403
1285,,-0.6804,0.1659,-1.5267,,,-0.6723,-0.467,-0.8775
1286,,-0.813,0.0333,-1.6593,,,-0.7113,-0.5061,-0.9166
1287,,-0.5146,0.3316,-1.3609,,,-0.7501,-0.5448,-0.9553
1288,,-0.9953,-0.149,-1.8416,,,-0.7866,-0.5813,-0.9918
1289,,-0.7467,0.0996,-1.593,,,-0.8179,-0.6127,-1.0232
1290,,-1.0616,-0.2153,-1.9079,,,-0.8421,-0.6369,-1.0474
1291,,-0.813,0.0333,-1.6593,,,-0.8573,-0.652,-1.0625
1292,,-0.9456,-0.0993,-1.7919,,,-0.8628,-0.6575,-1.068
1293,,-0.8461,1.40E-04,-1.6924,,,-0.8583,-0.653,-1.0636
1294,,-1.0616,-0.2153,-1.9079,,,-0.8439,-0.6386,-1.0491
1295,,-0.7135,0.1327,-1.5598,,,-0.82,-0.6147,-1.0253
1296,,-0.7964,0.0499,-1.6427,,,-0.7884,-0.5831,-0.9936
1297,,-0.7633,0.083,-1.6095,,,-0.7503,-0.5451,-0.9556
1298,,-0.7467,0.0996,-1.593,,,-0.7072,-0.5019,-0.9124
1299,,-0.6141,0.2322,-1.4604,,,-0.6604,-0.4551,-0.8656
1300,,-0.5478,0.2985,-1.3941,,,-0.6115,-0.4063,-0.8168
1301,,-0.3986,0.4477,-1.2449,,,-0.5619,-0.3567,-0.7672
1302,,-0.697,0.1493,-1.5432,,,-0.5121,-0.3069,-0.7174
1303,,-0.5312,0.3151,-1.3775,,,-0.4619,-0.2566,-0.6671
1304,,-0.4152,0.4311,-1.2615,,,-0.4118,-0.2065,-0.617
1305,,-0.4152,0.4311,-1.2615,,,-0.3634,-0.1582,-0.5687
1306,,-0.0837,0.7626,-0.93,,,-0.3185,-0.1133,-0.5238
1307,,-0.1997,0.6466,-1.046,,,-0.2787,-0.0734,-0.4839
1308,,-0.2163,0.63,-1.0626,,,-0.244,-0.0388,-0.4493
1309,,-0.2163,0.63,-1.0626,,,-0.2137,-8.46E-03,-0.419
1310,,-0.2826,0.5637,-1.1289,,,-0.1866,0.0187,-0.3919
1311,,-0.266,0.5803,-1.1123,,,-0.1617,0.0436,-0.3669
1312,,-0.1334,0.7129,-0.9797,,,-0.1387,0.0666,-0.344
1313,,-0.0837,0.7626,-0.93,,,-0.1183,0.087,-0.3236
1314,,-0.1997,0.6466,-1.046,,,-0.1011,0.1041,-0.3064
1315,,-0.034,0.8123,-0.8802,,,-0.0878,0.1174,-0.2931
1316,,-0.0505,0.7957,-0.8968,,,-0.0795,0.1258,-0.2847
1317,,-0.0505,0.7957,-0.8968,,,-0.077,0.1283,-0.2822
1318,,0.0821,0.9283,-0.7642,,,-0.0809,0.1244,-0.2861
1319,,-0.1831,0.6631,-1.0294,,,-0.0913,0.114,-0.2965
1320,,0.1152,0.9615,-0.7311,,,-0.1072,0.098,-0.3125
1321,,-0.1666,0.6797,-1.0128,,,-0.1279,0.0773,-0.3332
1322,,-0.2992,0.5471,-1.1454,,,-0.1512,0.0541,-0.3564
1323,,-0.382,0.4642,-1.2283,,,-0.175,0.0303,-0.3802
1324,,-0.1168,0.7294,-0.9631,,,-0.1987,6.53E-03,-0.404
1325,,-0.0505,0.7957,-0.8968,,,-0.2232,-0.018,-0.4285
1326,,-0.2494,0.5968,-1.0957,,,-0.2488,-0.0435,-0.4541
1327,,-0.034,0.8123,-0.8802,,,-0.2746,-0.0693,-0.4798
1328,,-0.5253,0.3138,-1.3643,,,-0.2989,-0.0942,-0.5036
1329,,-0.4264,0.4126,-1.2655,,,-0.3191,-0.1143,-0.5238
1330,,-0.6735,0.1655,-1.5126,,,-0.3335,-0.1288,-0.5382
1331,,-0.2288,0.6103,-1.0678,,,-0.3423,-0.1376,-0.547
1332,,-0.377,0.462,-1.2161,,,-0.3478,-0.1431,-0.5525
1333,,-0.4264,0.4126,-1.2655,,,-0.3521,-0.1474,-0.5568
1334,,-0.1134,0.7256,-0.9525,,,-0.3576,-0.1529,-0.5623
1335,,-0.5088,0.3302,-1.3478,,,-0.3665,-0.1618,-0.5712
1336,,-0.3111,0.5279,-1.1502,,,-0.3801,-0.1754,-0.5848
1337,,-0.0311,0.808,-0.8701,,,-0.4001,-0.1953,-0.6048
1338,,-0.4759,0.3632,-1.3149,,,-0.427,-0.2223,-0.6317
1339,,-0.3935,0.4455,-1.2325,,,-0.4594,-0.2547,-0.6641
1340,,-0.5088,0.3302,-1.3478,,,-0.4951,-0.2904,-0.6998
1341,,-0.4759,0.3632,-1.3149,,,-0.5318,-0.3271,-0.7365
1342,,-0.6638,0.1662,-1.4939,,,-0.5669,-0.3644,-0.7694
1343,,-0.6313,0.1988,-1.4613,,,-0.5979,-0.3954,-0.8004
1344,,-0.5661,0.264,-1.3961,,,-0.6227,-0.4202,-0.8252
1345,,-0.7127,0.1173,-1.5428,,,-0.6394,-0.4369,-0.8419
1346,,-0.8268,3.26E-03,-1.6569,,,-0.6461,-0.4436,-0.8486
1347,,-0.7127,0.1173,-1.5428,,,-0.6415,-0.439,-0.844
1348,,-0.8757,-0.0456,-1.7057,,,-0.6257,-0.4231,-0.8282
1349,,-0.5987,0.2314,-1.4287,,,-0.5999,-0.3974,-0.8024
1350,,-0.6638,0.1662,-1.4939,,,-0.5671,-0.3646,-0.7697
1351,,-0.2891,0.541,-1.1191,,,-0.531,-0.3285,-0.7335
1352,,-0.4357,0.3943,-1.2658,,,-0.4953,-0.2928,-0.6979
1353,,-0.4683,0.3618,-1.2984,,,-0.4624,-0.2599,-0.6649
1354,,-0.0446,0.7854,-0.8747,,,-0.4336,-0.2311,-0.6362
1355,,-0.3542,0.4758,-1.1843,,,-0.41,-0.2075,-0.6125
1356,,-0.5498,0.2803,-1.3798,,,-0.3896,-0.1871,-0.5921
1357,,-0.5498,0.2803,-1.3798,,,-0.37,-0.1675,-0.5725
1358,,-0.4031,0.4269,-1.2332,,,-0.35,-0.1475,-0.5525
1359,,-0.3542,0.4758,-1.1843,,,-0.3297,-0.1272,-0.5322
1360,,-0.3705,0.4595,-1.2006,,,-0.3101,-0.1076,-0.5126
1361,,-0.3053,0.5247,-1.1354,,,-0.2925,-0.0899,-0.495
1362,,-0.0446,0.7854,-0.8747,,,-0.2785,-0.076,-0.481
1363,,-0.4357,0.3943,-1.2658,,,-0.2698,-0.0672,-0.4723
1364,,-0.0446,0.7854,-0.8747,,,-0.2665,-0.064,-0.469
1365,,-0.1913,0.6388,-1.0213,,,-0.2695,-0.0669,-0.472
1366,,-0.2891,0.541,-1.1191,,,-0.2779,-0.0754,-0.4804
1367,,-0.3053,0.5247,-1.1354,,,-0.2903,-0.0878,-0.4928
1368,,-0.2239,0.6062,-1.0539,,,-0.3051,-0.1026,-0.5076
1369,,-0.3216,0.5084,-1.1517,,,-0.3209,-0.1183,-0.5234
1370,,-0.5987,0.2314,-1.4287,,,-0.3354,-0.1329,-0.5379
1371,,-0.2076,0.6225,-1.0376,,,-0.3471,-0.1446,-0.5496
1372,,-0.4683,0.3618,-1.2984,,,-0.3555,-0.153,-0.5581
1373,,-0.6645,0.1431,-1.472,,,-0.3603,-0.1666,-0.5539
1374,,-0.0343,0.7733,-0.8419,,,-0.3617,-0.1681,-0.5553
1375,,-0.4439,0.3637,-1.2515,,,-0.3618,-0.1682,-0.5554
1376,,-0.3494,0.4582,-1.157,,,-0.3613,-0.1677,-0.5549
1377,,-0.2706,0.537,-1.0782,,,-0.3607,-0.1671,-0.5543
1378,,-0.4124,0.3952,-1.22,,,-0.3603,-0.1667,-0.5539
1379,,-0.3809,0.4267,-1.1885,,,-0.3602,-0.1666,-0.5538
1380,,-0.4282,0.3794,-1.2357,,,-0.3605,-0.1669,-0.5541
1381,,-0.2864,0.5212,-1.094,,,-0.3617,-0.1681,-0.5553
1382,,-0.2391,0.5685,-1.0467,,,-0.3646,-0.1709,-0.5582
1383,,-0.3494,0.4582,-1.157,,,-0.3694,-0.1758,-0.563
1384,,-0.3967,0.4109,-1.2042,,,-0.3755,-0.1819,-0.5691
1385,,-0.3336,0.4739,-1.1412,,,-0.3818,-0.1882,-0.5754
1386,,-0.4597,0.3479,-1.2672,,,-0.3873,-0.1937,-0.5809
1387,,-0.3336,0.4739,-1.1412,,,-0.3909,-0.1973,-0.5845
1388,,-0.4124,0.3952,-1.22,,,-0.3918,-0.1982,-0.5854
1389,,-0.6172,0.1904,-1.4248,,,-0.3887,-0.1951,-0.5823
1390,,-0.3179,0.4897,-1.1255,,,-0.3812,-0.1876,-0.5748
1391,,-0.3651,0.4424,-1.1727,,,-0.3699,-0.1763,-0.5635
1392,,-0.3967,0.4109,-1.2042,,,-0.3555,-0.1619,-0.5491
1393,,-0.2706,0.537,-1.0782,,,-0.3387,-0.1451,-0.5323
1394,,-0.4124,0.3952,-1.22,,,-0.3203,-0.1267,-0.5139
1395,,-0.2706,0.537,-1.0782,,,-0.3009,-0.1072,-0.4945
1396,,-0.2667,0.5298,-1.0633,,,-0.2813,-0.0904,-0.4723
1397,,-0.189,0.6075,-0.9855,,,-0.2627,-0.0717,-0.4536
1398,,-0.189,0.6075,-0.9855,,,-0.2456,-0.0546,-0.4365
1399,,-0.3755,0.421,-1.1721,,,-0.2301,-0.0391,-0.421
1400,,-0.1268,0.6697,-0.9234,,,-0.2161,-0.0251,-0.407
1401,,-0.3133,0.4832,-1.1099,,,-0.2041,-0.0131,-0.395
1402,,-0.0647,0.7319,-0.8612,,,-0.1944,-3.46E-03,-0.3854
1403,,-0.1735,0.6231,-0.97,,,-0.1879,3.07E-03,-0.3788
1404,,-0.2667,0.5298,-1.0633,,,-0.1845,6.45E-03,-0.3755
1405,,-0.3444,0.4521,-1.141,,,-0.1841,6.82E-03,-0.3751
1406,,-2.50E-03,0.794,-0.799,,,-0.1874,3.53E-03,-0.3784
1407,,-0.2823,0.5143,-1.0788,,,-0.1959,-4.92E-03,-0.3868
1408,,0.0286,0.8251,-0.768,,,-0.2102,-0.0193,-0.4012
1409,,-0.0647,0.7319,-0.8612,,,-0.231,-0.0401,-0.422
1410,,-0.4688,0.3278,-1.2653,,,-0.2572,-0.0662,-0.4481
1411,,-0.0958,0.7008,-0.8923,,,-0.2865,-0.0956,-0.4775
1412,,-0.36,0.4366,-1.1565,,,-0.3176,-0.1266,-0.5085
1413,,-0.2667,0.5298,-1.0633,,,-0.3481,-0.1571,-0.539
1414,,-0.6242,0.1724,-1.4207,,,-0.3757,-0.1847,-0.5666
1415,,-0.2667,0.5298,-1.0633,,,-0.3978,-0.2069,-0.5888
1416,,-0.3444,0.4521,-1.141,,,-0.4134,-0.2224,-0.6043
1417,,-0.5776,0.219,-1.3741,,,-0.4206,-0.2296,-0.6115
1418,,-0.4066,0.3899,-1.2031,,,-0.4173,-0.2263,-0.6082
1419,,-0.6397,0.1568,-1.4363,,,-0.4021,-0.2112,-0.5931
1420,,-0.4066,0.3899,-1.2031,,,-0.3745,-0.1836,-0.5655
1421,,-0.2356,0.5609,-1.0322,,,-0.3353,-0.1443,-0.5262
1422,,-0.4998,0.2967,-1.2964,,,-0.2857,-0.0948,-0.4767
1423,,-0.5309,0.2656,-1.3275,,,-0.227,-0.036,-0.4179
1424,,-0.1268,0.6697,-0.9234,,,-0.1618,0.0292,-0.3527
1425,,0.1995,0.9961,-0.597,,,-0.0952,0.0957,-0.2862
1426,,-0.0958,0.7008,-0.8923,,,-0.0322,0.1588,-0.2231
1427,,0.2306,1.0272,-0.5659,,,0.0244,0.2154,-0.1665
1428,,0.1685,0.965,-0.6281,,,0.072,0.2629,-0.119
1429,,-0.1579,0.6386,-0.9545,,,0.1092,0.3002,-0.0817
1430,,0.2151,1.0116,-0.5815,,,0.1356,0.3265,-0.0554
1431,,0.4171,1.2137,-0.3794,,,0.1489,0.3399,-0.042
1432,,0.4482,1.2448,-0.3483,,,0.1476,0.3386,-0.0433
1433,,0.013,0.8096,-0.7835,,,0.1325,0.3234,-0.0585
1434,,0.2617,1.0582,-0.5348,,,0.1064,0.2973,-0.0846
1435,,-0.1268,0.6697,-0.9234,,,0.0723,0.2633,-0.1186
1436,,0.013,0.8096,-0.7835,,,0.0337,0.2246,-0.1573
1437,,0.0286,0.8251,-0.768,,,-7.26E-03,0.1837,-0.1982
1438,,-0.2045,0.592,-1.0011,,,-0.0485,0.1425,-0.2394
1439,,0.013,0.8096,-0.7835,,,-0.0881,0.1028,-0.2791
1440,,-0.3133,0.4832,-1.1099,,,-0.1251,0.0658,-0.3161
1441,,-0.4066,0.3899,-1.2031,,,-0.1583,0.0327,-0.3493
1442,,-0.3133,0.4832,-1.1099,,,-0.1879,3.08E-03,-0.3788
1443,,0.0907,0.8873,-0.7058,,,-0.2163,-0.0253,-0.4072
1444,,-0.4377,0.3589,-1.2342,,,-0.2466,-0.0557,-0.4376
1445,,-0.1579,0.6386,-0.9545,,,-0.2805,-0.0896,-0.4715
1446,,-0.2978,0.4987,-1.0943,,,-0.3202,-0.1292,-0.5111
1447,,-0.0958,0.7008,-0.8923,,,-0.3672,-0.1762,-0.5581
1448,,-0.36,0.4366,-1.1565,,,-0.4225,-0.2315,-0.6134
1449,,-0.4221,0.3744,-1.2187,,,-0.485,-0.2941,-0.676
1450,,-0.4998,0.2967,-1.2964,,,-0.5528,-0.3618,-0.7438
1451,,-0.5776,0.219,-1.3741,,,-0.6233,-0.4323,-0.8142
1452,,-0.3911,0.4055,-1.1876,,,-0.6934,-0.5024,-0.8843
1453,,-1.3546,-0.5581,-2.1512,,,-0.7591,-0.5681,-0.9501
1454,,-0.9039,-0.1074,-1.7005,,,-0.8154,-0.6245,-1.0064
1455,,-0.9661,-0.1696,-1.7626,,,-0.8609,-0.6699,-1.0518
1456,,-0.8262,-0.0297,-1.6228,,,-0.8956,-0.7047,-1.0866
1457,,-1.1526,-0.3561,-1.9491,,,-0.9206,-0.7296,-1.1115
1458,,-0.8573,-0.0608,-1.6538,,,-0.9368,-0.7458,-1.1278
1459,,-1.0904,-0.2939,-1.887,,,-0.9465,-0.7556,-1.1375
1460,,-0.6863,0.1102,-1.4829,,,-0.9522,-0.7612,-1.1431
1461,,-0.7951,1.40E-03,-1.5917,,,-0.9564,-0.7655,-1.1474
1462,,-0.8884,-0.0918,-1.6849,,,-0.9603,-0.7693,-1.1513
1463,,-1.0749,-0.2784,-1.8714,,,-0.9632,-0.7722,-1.1542
1464,,-0.7796,0.0169,-1.5761,,,-0.964,-0.773,-1.1549
1465,,-0.8728,-0.0763,-1.6694,,,-0.9617,-0.7707,-1.1527
1466,,-1.2459,-0.4493,-2.0424,,,-0.9544,-0.7635,-1.1454
1467,,-0.9661,-0.1696,-1.7626,,,-0.9398,-0.7488,-1.1307
1468,,-0.9661,-0.1696,-1.7626,,,-0.917,-0.7261,-1.108
1469,,-0.9816,-0.1851,-1.7782,,,-0.8864,-0.6954,-1.0773
1470,,-0.9816,-0.1851,-1.7782,,,-0.8484,-0.6575,-1.0394
1471,,-0.8107,-0.0141,-1.6072,,,-0.8047,-0.6137,-0.9956
1472,,-0.7951,1.40E-03,-1.5917,,,-0.7577,-0.5668,-0.9487
1473,,-0.5465,0.2501,-1.343,,,-0.7105,-0.5195,-0.9014
1474,,-0.6708,0.1257,-1.4673,,,-0.6658,-0.4748,-0.8567
1475,,-0.3444,0.4521,-1.141,,,-0.6255,-0.4346,-0.8165
1476,,-0.4377,0.3589,-1.2342,,,-0.5909,-0.3999,-0.7818
1477,,-0.8728,-0.0763,-1.6694,,,-0.561,-0.37,-0.7519
1478,,-0.4532,0.3433,-1.2498,,,-0.534,-0.343,-0.7249
1479,,-0.2823,0.5143,-1.0788,,,-0.5097,-0.3187,-0.7007
1480,,-0.7641,0.0325,-1.5606,,,-0.4876,-0.2966,-0.6786
1481,,-0.6708,0.1257,-1.4673,,,-0.4659,-0.275,-0.6569
1482,,-0.3133,0.4832,-1.1099,,,-0.4447,-0.2538,-0.6357
1483,,-0.5309,0.2656,-1.3275,,,-0.4256,-0.2346,-0.6165
1484,,-0.3289,0.4677,-1.1254,,,-0.4098,-0.2188,-0.6007
1485,,-0.189,0.6075,-0.9855,,,-0.3988,-0.2078,-0.5898
1486,,-0.3911,0.4055,-1.1876,,,-0.3936,-0.2027,-0.5846
1487,,-0.4377,0.3589,-1.2342,,,-0.3936,-0.2027,-0.5846
1488,,-0.4221,0.3744,-1.2187,,,-0.3979,-0.2069,-0.5888
1489,,-0.189,0.6075,-0.9855,,,-0.4059,-0.2149,-0.5968
1490,,-0.2045,0.592,-1.0011,,,-0.4169,-0.2259,-0.6078
1491,,-0.6242,0.1724,-1.4207,,,-0.4285,-0.2375,-0.6194
1492,,-0.6729,0.1095,-1.4554,,,-0.4368,-0.2471,-0.6266
1493,,-0.3676,0.4148,-1.1501,,,-0.4395,-0.2497,-0.6293
1494,,-0.3982,0.3843,-1.1806,,,-0.4357,-0.2459,-0.6254
1495,,-0.7493,0.0332,-1.5317,,,-0.4244,-0.2347,-0.6142
1496,,-0.5356,0.2469,-1.318,,,-0.405,-0.2153,-0.5948
1497,,-0.4898,0.2927,-1.2722,,,-0.379,-0.1892,-0.5688
1498,,-0.5203,0.2622,-1.3028,,,-0.3494,-0.1596,-0.5392
1499,,0.243,1.0254,-0.5395,,,-0.3205,-0.1307,-0.5102
1500,,-0.276,0.5064,-1.0585,,,-0.2969,-0.1071,-0.4867
1501,,-0.3066,0.4759,-1.089,,,-0.2799,-0.0901,-0.4697
1502,,-0.1234,0.6591,-0.9059,,,-0.2697,-0.08,-0.4595
1503,,-0.3829,0.3996,-1.1654,,,-0.2665,-0.0767,-0.4563
1504,,-0.0929,0.6896,-0.8753,,,-0.2697,-0.0799,-0.4594
1505,,-0.2913,0.4912,-1.0738,,,-0.2788,-0.089,-0.4686
1506,,-0.2608,0.5217,-1.0433,,,-0.2927,-0.1029,-0.4824
1507,,-0.3371,0.4454,-1.1196,,,-0.3097,-0.1199,-0.4995
1508,,-0.444,0.3385,-1.2264,,,-0.3282,-0.1384,-0.518
1509,,-0.5813,0.2011,-1.3638,,,-0.3468,-0.157,-0.5365
1510,,-0.0645,0.6852,-0.8142,,,-0.3652,-0.1875,-0.5429
1511,,-0.2703,0.4793,-1.02,,,-0.3846,-0.2069,-0.5623
1512,,-0.4027,0.347,-1.1524,,,-0.4042,-0.2265,-0.5819
1513,,-0.4321,0.3176,-1.1818,,,-0.4219,-0.2442,-0.5996
1514,,-0.5644,0.1853,-1.3141,,,-0.4357,-0.258,-0.6134
1515,,-0.5644,0.1853,-1.3141,,,-0.4437,-0.266,-0.6214
1516,,-0.7261,0.0236,-1.4758,,,-0.445,-0.2673,-0.6227
1517,,-0.2409,0.5088,-0.9906,,,-0.4403,-0.2626,-0.618
1518,,-0.4468,0.3029,-1.1965,,,-0.4319,-0.2542,-0.6096
1519,,-0.3145,0.4352,-1.0642,,,-0.4212,-0.2435,-0.5989
1520,,-0.4174,0.3323,-1.1671,,,-0.4094,-0.2317,-0.5871
1521,,-0.1225,0.6297,-0.8747,,,-0.3969,-0.2186,-0.5752
1522,,-0.4489,0.3033,-1.201,,,-0.3836,-0.2053,-0.5618
1523,,-0.5082,0.244,-1.2604,,,-0.3676,-0.1893,-0.5459
1524,,-0.5675,0.1846,-1.3197,,,-0.3474,-0.1692,-0.5257
1525,,-0.256,0.4962,-1.0082,,,-0.3228,-0.1445,-0.5011
1526,,-0.5527,0.1995,-1.3049,,,-0.2951,-0.1168,-0.4734
1527,,-0.1373,0.6148,-0.8895,,,-0.266,-0.0877,-0.4442
1528,,-0.2857,0.4665,-1.0378,,,-0.2385,-0.0602,-0.4167
1529,,0.0703,0.8225,-0.6818,,,-0.2152,-0.037,-0.3935
1530,,-0.0483,0.7038,-0.8005,,,-0.1987,-0.0204,-0.3769
1531,,-0.167,0.5852,-0.9192,,,-0.189,-0.0108,-0.3673
