% Wilson Schneider Anchukaitis NH1 NH2 Guillet
750 -0.279 -0.38056 0.1314 0.054067 0.16566 -0.0895
751 -0.30739 -0.40339 0.0981 0.19318 0.27684 -0.3146
752 -0.42093 -0.38513 -0.1014 0.044137 -0.047587 0.0168
753 -0.19385 -0.53238 0.3774 0.16019 0.6792 -0.3007
754 -0.81831 -0.51981 -0.3098 -0.0661 -0.031481 -0.4312
755 -0.36606 -0.35424 0.2018 0.039961 0.29277 -0.0843
756 -0.90047 -0.75163 -0.463 -0.18711 -0.60108 -0.4874
757 -0.92719 -0.50489 -0.1412 -0.37805 -0.087461 -0.6992
758 -0.39278 -0.10918 0.0304 -0.058031 0.14265 -0.0439
759 -0.36606 -0.19524 0.0656 -0.30809 0.054888 -0.2433
760 -0.36778 -0.23292 0.126 -0.13534 0.26684 -0.3191
761 -0.60917 -0.071008 -0.2565 -0.027819 -0.0033358 -0.0327
762 -0.56528 -0.44812 -0.4064 -0.10965 -0.51415 -0.1471
763 -0.28 -0.18409 0.0754 -0.037554 0.25698 -0.1602
764 0.0052752 0.048405 0.244 0.3458 0.37884 0.4262
765 -0.016669 -0.21858 0.3376 0.33645 0.38756 0.1787
766 -0.43361 -0.26871 -0.4422 -0.16582 -0.64923 -0.1067
767 -0.23611 -0.23985 0.0518 0.10874 0.086986 0.0246
768 -0.25806 -0.25187 0.1514 0.093618 0.31502 -0.0671
769 -0.41167 -0.21164 -0.1675 0.34598 -0.023406 0.1496
770 -0.43361 -0.24524 -0.2322 0.19624 -0.26943 0.071
771 -0.25806 -0.12504 0.0979 -0.058876 0.13148 -0.1596
772 -0.8725 -0.63196 -0.7156 -0.42957 -1.0031 -0.6829
773 -0.89445 -0.65923 -0.5315 -0.50458 -0.70752 -0.7575
774 -0.45556 -0.20419 -0.2169 0.091426 -0.21883 -0.081
775 -0.65306 -0.23647 -0.3402 -0.065841 -0.21078 -0.1646
776 -0.4775 -0.36587 -0.3375 0.019154 -0.35435 -0.0903
777 -0.34584 -0.11052 -0.1992 -0.25742 -0.17114 -0.2276
778 -0.34584 -0.09584 0.0204 0.19311 0.28499 0.0958
779 -0.32389 -0.047856 -0.0703 -0.15185 0.14109 -0.0957
780 -0.71889 -0.24825 -0.3714 0.23271 -0.12502 0.0363
781 -0.12639 0.053916 -0.227 0.17856 -0.25606 0.496
782 -0.34584 -0.34528 -0.1508 0.15446 -0.13316 -0.0051
783 -0.30584 -0.27439 -0.2909 0.11506 -0.36461 0.1094
784 -0.37077 -0.44673 -0.4223 -0.17491 -0.67047 -0.3085
785 -0.024512 0.020423 0.1051 0.17003 0.32714 0.3141
786 -0.37077 -0.54783 0.0239 0.064302 0.072336 -0.1771
787 0.083693 0.096679 0.2113 -0.014353 0.29383 0.1803
788 -0.11108 -0.10559 -0.0558 0.085274 -0.3674 0.1887
789 -0.39241 -0.46393 -0.1769 -0.0678 -0.39612 -0.1511
790 -0.0028713 -0.12113 0.6717 0.16954 0.91956 0.1751
791 -0.67374 -0.50767 -0.6334 -0.5238 -1.0416 -0.6009
792 -0.024512 -0.091942 0.5277 0.30405 0.68155 0.2288
793 -0.024512 0.062398 0.3087 0.51245 0.38732 0.4919
794 -0.2842 -0.23724 -0.0738 0.2684 -0.15265 0.1728
795 -0.089435 -0.067399 -0.0412 0.079735 -0.33108 0.2996
796 -0.37077 -0.62777 -0.022 0.14853 -0.16776 -0.3056
797 -0.41405 -0.68401 -0.2345 -0.35414 -0.82832 -0.5508
798 -0.26256 -0.40231 0.1242 0.12561 -0.027438 -0.1051
799 -0.6521 -0.8959 -0.1569 -0.20889 -0.52822 -0.6046
800 -0.74805 -1.3034 -1.1227 -0.93134 -1.776 -1.2908
801 -0.38592 -0.58849 -0.4867 -0.3268 -0.74376 -0.5255
802 -0.45382 -0.41659 -0.6835 -0.2535 -0.87342 -0.2841
803 -0.47645 -0.83645 -0.4839 -0.16466 -0.67801 -0.552
804 -0.65752 -0.38439 -0.6323 -0.25354 -0.70445 -0.3224
805 -0.31802 -0.76655 -0.4961 0.0016778 -0.58153 -0.3313
